timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
6772,-0.72,-2.82,10.30,0.61,1.31,0.04
6807,-0.88,-1.89,10.12,0.72,1.45,-0.14
6842,-1.54,-2.70,10.84,0.80,1.59,-0.22
6877,-1.88,-2.01,11.10,0.86,1.73,-0.18
6912,-2.55,-2.49,11.13,0.88,1.89,-0.13
6947,-2.88,-1.98,10.77,0.85,2.00,-0.04
6982,-4.04,-1.96,10.95,0.84,2.07,0.00
7017,-4.56,-3.34,9.80,0.86,2.07,0.06
7052,-5.20,-2.34,10.14,0.79,2.09,0.28
7088,-5.91,0.26,10.28,0.89,2.15,0.24
7122,-6.39,-0.89,8.66,1.07,2.13,0.09
7157,-6.35,0.68,7.57,1.32,2.03,0.02
7192,-6.08,1.52,6.73,1.53,1.93,-0.04
7227,-7.45,-1.72,6.40,1.63,1.87,-0.04
7262,-8.04,-2.56,6.90,1.67,1.89,0.06
7297,-8.28,0.75,7.04,1.59,1.98,0.17
7332,-8.36,-0.60,5.66,1.51,2.06,0.23
7367,-9.00,-3.22,3.99,1.40,2.01,0.35
7402,-8.94,-0.21,3.31,1.31,1.88,0.50
7437,-7.43,2.44,6.26,1.35,1.78,0.52
7472,-0.43,3.68,-7.57,1.46,1.92,0.57
7507,-13.24,5.51,6.61,1.65,2.12,0.75
7542,-2.19,-1.15,-2.42,1.68,2.08,0.82
7577,-11.18,-1.27,0.96,1.51,2.12,0.76
7612,-3.70,0.54,-1.25,1.29,2.26,0.79
7647,-10.81,-3.61,-1.41,0.94,2.37,0.67
7682,-10.75,1.65,0.42,0.62,2.50,0.55
7717,-8.99,3.36,-1.37,0.71,2.60,0.60
7752,-8.37,3.36,-1.99,0.79,2.67,0.65
7787,-8.80,2.70,-2.27,0.86,2.80,0.71
7822,-9.39,1.89,-2.78,0.86,2.97,0.76
7857,-7.39,2.30,-3.40,0.73,3.17,0.55
7892,-6.65,4.67,-4.02,0.61,3.35,0.12
7927,-3.90,5.52,-4.41,0.59,3.49,-0.31
7962,-3.54,6.07,-3.95,0.69,3.65,-0.71
7997,-1.74,7.28,-4.40,0.87,3.82,-0.99
8032,-1.52,7.54,-3.66,1.07,3.97,-1.11
8067,-1.25,7.57,-3.67,1.33,4.13,-1.12
8102,0.88,6.64,-3.82,1.61,4.26,-1.02
8142,4.19,8.83,-1.58,1.98,4.42,-0.95
8177,7.54,8.91,-0.12,2.49,4.47,-0.99
