timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
264639,4.93,-3.15,10.83,0.36,2.94,0.28
264674,3.45,-0.70,10.33,0.35,2.97,0.76
264709,2.58,-3.84,11.19,0.35,2.97,1.01
264744,2.10,-2.77,12.56,0.35,2.96,1.08
264779,0.57,-4.88,11.73,0.31,2.93,1.16
264815,-0.25,-9.36,13.06,0.42,3.28,1.14
264849,0.20,6.63,10.64,0.37,3.56,0.89
264884,-4.31,-8.72,15.93,0.27,3.65,1.05
264919,-3.57,-4.92,12.34,0.00,3.58,1.30
264954,-4.55,-4.15,12.02,-0.60,3.50,1.64
264989,-7.75,-8.35,14.26,-1.24,3.53,1.91
265024,-6.49,-0.06,13.82,-1.36,3.72,1.71
265059,-6.46,4.96,14.27,-0.76,4.07,1.33
265094,-10.05,1.13,12.81,0.16,4.39,1.10
265129,-9.59,-0.85,9.67,0.67,4.54,1.04
265164,-8.36,-3.06,6.78,0.82,4.61,1.13
265199,-7.92,-4.18,4.98,0.57,4.64,1.09
265233,-10.41,-1.63,5.57,0.21,4.79,0.90
265268,-11.45,1.78,5.80,0.08,5.07,0.75
265303,-9.50,-0.43,5.06,0.06,5.34,0.61
265338,-10.74,0.72,4.48,0.13,5.65,0.66
265373,-9.57,-0.28,2.17,0.25,6.02,0.94
265408,-3.11,-1.28,4.06,0.33,6.17,1.17
265443,-0.53,-3.70,-1.49,0.32,6.10,1.54
265478,4.69,-1.94,0.22,0.15,6.10,1.61
265513,6.47,-4.06,0.85,0.10,6.01,1.48
265548,4.82,-3.90,1.17,-0.11,6.04,1.52
265583,5.05,-4.20,2.36,-0.23,6.21,1.44
265618,7.44,-5.45,5.18,-0.46,6.39,1.36
265653,9.16,-4.67,7.37,-0.74,6.51,1.21
265688,10.87,-4.51,8.95,-0.81,6.72,0.99
265722,9.42,-2.43,13.34,-0.76,6.91,0.77
265757,10.46,0.56,16.65,-0.30,6.96,0.65
265792,11.27,-0.91,19.17,0.16,7.07,0.73
265827,7.49,-1.14,20.42,0.45,7.17,0.92
265862,6.79,-2.34,22.29,0.58,7.29,1.06
265897,3.82,-3.55,25.22,0.67,7.49,1.09
265932,2.28,-3.18,25.86,0.79,7.70,1.10
265967,-1.62,-3.58,26.44,0.89,7.81,1.13
266002,-3.74,-1.29,27.44,1.08,7.97,1.06
266036,-4.77,-3.73,26.28,1.29,8.15,1.14
266071,-8.09,-5.02,25.70,1.30,8.37,1.36
266106,-8.16,-4.06,22.45,1.23,8.58,1.51
266141,-5.69,-3.72,18.28,0.92,8.66,1.45
266176,-4.41,-0.26,14.49,0.78,8.64,1.35
266211,-2.76,0.15,11.91,0.74,8.49,1.25
266246,0.34,-0.01,9.10,0.86,8.40,1.20
266281,0.92,-1.74,9.20,0.92,8.35,1.33
266315,2.66,0.85,10.77,1.05,8.50,1.23
266350,4.18,3.03,12.14,1.13,8.60,1.09
266385,8.52,0.75,14.00,1.21,8.69,1.17
266420,9.56,-3.47,15.97,1.05,8.70,1.32
266455,11.23,-5.46,18.05,0.79,8.68,1.38
266495,11.96,-3.39,21.26,0.49,8.73,1.29
266530,9.68,-4.19,23.85,0.55,8.73,1.21
266565,9.32,-3.58,27.47,0.70,8.73,1.20
266600,7.76,-4.01,30.75,0.86,8.73,1.33
266635,4.94,-4.68,32.87,0.96,8.73,1.51
266670,1.32,-3.88,34.17,0.96,8.73,1.59
266705,-2.21,-5.72,33.19,0.97,8.73,1.70
266740,-5.90,-4.47,33.10,0.96,8.73,1.78
266775,-5.62,-2.25,32.30,1.26,8.73,1.81
266810,-4.92,-3.44,25.75,1.52,8.73,1.94
266845,-5.13,-6.48,20.37,1.64,8.73,2.19
266880,-5.82,-8.80,18.60,1.45,8.73,2.44
266915,-8.49,-8.24,17.31,1.13,8.73,2.47
266949,-5.87,-4.84,17.39,0.93,8.73,2.48
266984,1.02,-4.53,18.07,0.82,8.73,2.50
267019,6.61,-7.76,19.22,0.61,8.73,2.43
267054,11.30,-6.72,21.90,0.49,8.73,2.29
267089,12.08,-6.78,24.70,0.43,8.73,2.08
267124,12.21,-5.30,28.85,0.43,8.73,1.94
267159,12.29,-5.29,32.93,0.52,8.73,1.87
267194,11.44,-5.22,36.86,0.59,8.73,1.77
267229,7.23,-5.03,39.38,0.69,8.73,1.72
267264,4.36,-5.47,41.79,0.89,8.73,1.61
267299,0.59,-5.45,41.08,1.03,8.73,1.56
267334,-2.67,-5.36,36.98,1.21,8.73,1.56
267369,-5.58,-2.56,35.05,1.34,8.73,1.63
267404,-6.62,-3.37,30.56,1.39,8.73,1.69
267439,-4.33,-4.98,27.33,1.23,8.73,1.73
267474,-5.72,-0.46,24.92,0.98,8.73,1.59
267509,-5.25,0.49,23.11,0.93,8.73,1.28
267544,1.91,1.62,22.40,1.08,8.73,1.25
267579,6.68,0.25,22.18,1.22,8.73,1.39
267614,8.43,-4.43,21.25,1.03,8.73,1.77
267649,9.91,-7.95,23.51,0.86,8.73,2.00
267685,11.30,-6.86,26.99,0.72,8.73,1.95
267719,13.32,-5.20,32.45,0.63,8.73,1.88
267754,12.49,-6.20,37.24,0.64,8.73,1.76
267789,9.18,-5.60,39.66,0.74,8.73,1.72
267824,7.58,-6.66,40.31,0.85,8.73,1.80
267859,3.70,-6.08,39.92,1.02,8.73,1.85
267894,-0.36,-6.52,39.57,1.03,8.73,1.82
267929,-3.89,-4.55,38.53,1.19,8.73,1.78
267964,-4.76,-3.35,34.66,1.35,8.73,1.81
267999,-4.77,-6.39,28.69,1.38,8.73,1.93
268034,-6.21,-7.33,25.17,1.28,8.73,2.02
268069,-3.62,-3.65,23.73,1.26,8.73,2.15
268104,-2.85,-6.08,21.57,1.19,8.73,2.25
