timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
349570,6.67,1.29,3.51,1.93,6.18,1.14
349605,8.24,0.82,5.57,2.07,6.17,1.41
349640,8.87,-0.43,6.97,2.14,6.14,1.66
349675,8.55,-1.08,8.19,2.31,6.23,1.97
349710,9.42,-5.88,10.92,2.21,6.33,2.30
349745,9.30,-4.20,14.68,2.16,6.36,2.63
349780,15.39,-10.45,19.03,2.67,6.27,3.28
349815,4.75,-18.78,16.07,2.26,6.48,3.64
349850,6.92,-8.05,22.78,1.50,6.36,3.53
349885,3.00,-15.34,18.19,0.97,6.17,3.19
349920,1.87,-3.95,24.78,0.40,6.62,2.29
349955,-0.91,-13.19,22.93,0.25,6.94,2.26
349990,-2.63,-12.36,23.59,-0.05,6.87,2.92
350025,-4.67,-3.86,23.84,-0.19,7.05,2.71
350060,-5.79,1.33,21.42,0.61,7.17,2.02
350095,-6.24,-7.53,15.77,1.50,7.19,1.86
350130,-8.22,-10.54,14.46,1.49,7.20,1.87
350165,-7.57,-10.18,13.90,1.00,7.39,1.88
350200,-11.25,-7.51,14.67,0.17,7.74,1.42
350235,-10.95,-0.18,16.53,-0.22,8.48,0.84
350270,-6.03,12.13,14.91,-0.07,8.73,-0.18
350305,-4.87,20.77,12.25,0.65,8.73,-0.84
350340,12.39,17.31,16.00,1.71,8.73,-1.08
350375,16.52,5.54,15.73,2.32,8.73,-0.76
350410,18.76,-12.12,15.58,2.08,8.54,-0.13
350445,10.42,-17.11,11.66,0.42,8.30,0.59
350480,12.18,-11.26,20.13,-1.05,8.39,0.31
350515,10.43,-6.08,21.28,-0.88,8.17,-0.51
350550,7.66,-3.04,21.31,-0.47,7.91,-1.19
350585,8.54,-0.61,24.94,-0.19,7.72,-1.77
350620,6.05,-2.09,21.00,0.24,7.62,-2.37
350656,4.44,4.56,24.81,0.92,7.52,-2.32
350690,4.83,1.63,26.32,1.61,7.69,-1.99
350725,0.91,2.00,26.86,1.98,7.85,-1.41
350760,-3.06,-3.77,29.03,2.04,7.94,-0.40
350795,-3.09,-7.40,21.68,1.64,7.95,0.50
350830,-8.79,-4.19,21.34,0.79,7.73,1.05
350865,-6.16,-0.71,16.92,-0.01,7.56,1.04
350900,-5.25,5.33,14.51,-0.45,7.34,0.76
350935,-17.59,4.17,17.02,-0.43,7.47,0.48
350970,-5.65,10.02,20.21,-0.03,7.60,0.52
351005,-2.32,4.64,6.08,0.32,7.56,0.79
351040,1.37,-0.78,5.66,0.42,7.64,1.16
351075,-1.05,1.64,8.85,0.63,7.38,1.59
351110,-0.86,-3.30,3.69,0.46,7.39,1.72
351145,7.20,-2.66,6.60,0.39,7.53,1.84
351180,7.92,-4.30,9.06,0.12,7.49,1.87
351215,8.81,-3.56,9.42,0.05,7.49,1.77
351249,9.54,-3.41,10.24,0.00,7.43,1.56
351284,11.09,-2.34,11.42,-0.14,7.59,1.46
351319,9.99,-4.15,16.27,-0.23,7.84,1.28
351354,11.50,-4.05,20.25,-0.39,8.03,0.97
351390,10.65,-1.65,23.48,-0.33,8.04,0.63
351424,7.69,-1.00,25.25,-0.02,8.04,0.45
351464,5.35,-0.61,26.75,0.32,8.08,0.50
351499,2.97,-1.54,29.31,0.50,8.24,0.57
